"source","مەنبە"
"source area","مەنبە بۆلىكى"
"source data","مەنبە ئۇچۇر"
"source file","مەنبە ھۆججەت"
"Source Manager","مەنبە باشقۇرغۇچى"
"source subscription","ئەسلى مۇشتەرىلىك"
"South African National Clearing Code","جەنۇبىي ئافرىقا دۆلەتلىك ھېسابات نومۇرى"
"South Korean won","جەنۇبىي كورىيە ئۇتتى"
"space","بوشلۇق"
"SPACE","SPACE"
"SPACEBAR","SPACEBAR"
"space character","بوشلۇق بەلگىسى"
"Spaces","بوشلۇق"
"spam","ئەخلەت"
"sparkline","قىستۇرما بۆلەك"
"sparse array","شالاڭ توپلام"
"spatial sound","بوشلۇق ئاۋازى"
"Speak","سۆزلەش"
"special character","ئالاھىدە ھەرپ-بەلگىلەر"
"Special interest","ئالاھىدە قىزىقىش"
"Specular Light","قايتما نۇر"
"speech recognition","ئاۋاز پەرقلەندۈرۈش"
"speech-to-text","ئاۋازدىن خەتكە"
"speed bump","ئاستىلاتقۇ"
"speed dial","تېز چاقىرىش"
"Spelling","ئىملا"
"Spelling pane","ئىملا كۆزنىكى"
"spherical projection","شار تەسۋىر"
"SPI","ۋ ئو ك"
"Spike","قوزۇق"
"Spill","تېشىش"
"spinner","پىرقىرىغۇچ"
"split","پارچىلاش"
"split button","بۆلگۈچ"
"split time","بۆلەت ۋاقىت"
"spoof","ئالدىماق"
"Sports","تەنتەربىيەسى"
"Sports & activities","تەنتەربىيە ۋە پائالىيەت"
"Sports & recreation","تەنتەربىيە ۋە ساغلاملىق"
"Spot Corruption Handling","بۇزۇلغان دائىرە بىر تەرەپ قىلغۇچ"
"Spot Fixer","دائىرە ئوڭشىغۇچ"
"spotlight","يارقىن نۇقتا"
"Spot Verifier","دائىرە تەكشۈرگۈچ"
"spread","يېيىش"
"spreadsheet","جەدۋەل"
"Spreadsheet Component","جەدۋەل بۆلىكى"
"Spreadsheet Management","جەدۋەل باشقۇرۇش"
"spreadsheet program","جەدۋەل پىروگراممىسى"
"SQL","SQL"
"SQL view","SQL كۆرۈنۈشى"
"SSGM","SSGM"
"SSID","SSID"
"SSIS","SSIS"
"SSO","SSO"
"SSPI","SSPI"
"STA","STA"
"stabilization","مۇقىملاشتۇرۇش"
"stack","دۆۋىلەش"
"Stack","دۆۋە"
"stacked","قاتمۇ-قات"
"stacked bar chart","توپلام جەدۋىلى"
"stacked column chart","توپلام گىرافىك"
"stacked fraction","ئاددى كەسىر"
"Stacked List","دۆۋىلىمە تىزىملىك"
"Stacked Venn","توپ ئۆتۈشمە"
"staff leader","باشلىق"
"staff member","قۇر مۇندەرىجىسى"
"Staff picks","خادىملار تاللىغانلىرى"
"stage","باسقۇچ"
"stage view","سۇپا كۆرۈنۈشى"
"Staggered Process","گىرەلەشمە جەريان"
"standard deviation","ئۆلچەمسىزلىكى"
"standard font","ئۆلچەملىك خەت نۇسخىسى"
"standard keyboard","ئۆلچەملىك كۇنۇپكا تاختىسى"
"Standard toolbar","ئۆلچەملىك قورالبالداق"
"standby","كۈتۈش ھالىتى"
"star","يۇلتۇز"
"star rating","يۇلتۇزلۇق باھا"
"starred","يۇلتۇزلۇق"
"Start","باشلام"
"start","باشلىماق"
"Start background","ئارقا سۇپىدا قوزغىتىش"
"Start button","باشلىغۇچ"
"Start charm","باشلاش تۈگمىسى"
"start date","باشلاش ۋاقتى"
"Starter Diagram","يېڭى ئۆگەنگۈچىلەر دىئاگراممىسى"
"Start menu","باشلاش تىزىملىكى"
"Start screen","باشلام ئېكرانى"
"start tag","باشلاش خەتكۈچى"
"startup","قوزغىتىش"
"state","ھالەت"
"statement","جۈملە"
"static","ئىستاتىك"
"status","ھالەت"
"Status bar","ھالەت بالدىقى"
"status bar","ھالەت بالدىقى"
"status date","ھالەت ئۇچۇرى"
"status message","ھالەت ئۇچۇرى"
"status report","ئەھۋال دوكلاتى"
"STEM","تەبىئىي پەن، تېخنىكا، قۇرۇلۇش ۋە ماتېماتىكا"
"stencil","ئۇسلۇب"
"step-by-step directions","باسقۇچلۇق كۆرسەتمىلەر"
"Steps","باسقۇچ"
"Stickers","چاپلاق"
"sticky note","چاپلاق خاتىرە"
"Sticky Notes","چاپلاق خاتىرە"
"stock chart","پاي گىرافىكى"
"Stocks","پاي"
"stop","توختاتماق"
"stop responding","ئىنكاسنى توختاتماق"
"storage","بوشلۇق"
"Storage","بوشلۇق"
"storage allocation","ساقلىغۇچ تەقسىملەش"
"storage layout","ساقلىغۇچ لايىھەسى"
"storage limit","ساقلاش بوشلۇقى چېكى"
"storage location","ساقلاش ئورنى"
"storage plan","ساقلاش بوشلۇقى پىلانى"
"storage pool","ساقلىغۇچ كۆلچىكى"
"storage provider","ساقلىغۇچ تەمىنلىگۈچى"
"storage space","ساقلاش بوشلۇقى"
"storage tier","ساقلىغۇچ قەۋىتى"
"store","ساقلىماق"
"Store","Store"
"stored procedure","ساقلانغان جەريان"
"story","ئاساسىي مەزمۇن"
"storyline","قىسقىچە مەزمۇنى"
"straight connector","بىۋاستە باغلىغۇچ"
"Strategy","ئىستىراتېگىيە"
"Strategy & simulation","ئىستىراتىگىيە ۋە تەقلىد"
"stream","ئېقىم"
"stream-based conversion","ئېقىم ئايلاندۇرۇش"
"streamline","ئاددىيلاشتۇرماق"
"Streetside","Streetside"
"Stretch","سوزۇش"
"stretch","كېڭەيتىش"
"strikethrough","ئۆچۈرۈش سىزىقى"
"string","ھەرپ تىزمىسى"
"Stroke Eraser","ئۆچۈرگۈچ"
"strong character","ئۇرغۇلۇق ھەرپ"
"structural editing","قۇرۇلمىلاشقان تەھرىرلەش"
"Structure","قۇرۇلمىسى"
"structure","قۇرۇلما"
"Structured Query Language","قۇرۇلمىلاشقان ئىزدەش تىلى"
"structured reference","قۇرۇلمىلىق مۇناسىۋەت"
"Structured References","قۇرۇلمىلىق مۇناسىۋەتلەر"
"student","ئوقۇغۇچى"
"Study aids","ئوقۇش ياردەملىرى"
"style","ئۇسلۇب"
"Style","ئۇسلۇب"
"style area","ئۇسلۇب رايونى"
"Style & fashion","مودا ۋە ئېقىم"
"Style gallery","ئۇسلۇب ئامبىرى"
"style inspector","ئۇسلۇب تەكشۈرگۈچ"
"Styles","ئۇسلۇب"
"style sheet","ئۇسلۇب قەغىزى"
"stylistic set","تۈر توپى"
"stylus","قەلەم"
"subdatasheet","تارماق سانلىق جەدۋەل"
"subdocument","تارماق پۈتۈك"
"subentry","قوشۇمچە تېما"
"subform","تارماق رامكا"
"subheading","قوشۇمچە ماۋزۇ"
"subject line","ماۋزۇ قۇرى"
"submenu","تارماق تىزىملىك"
"submit","يوللاش"
"subnotebook","كىچىك خاتىرە دەپتەر"
"subordinate shape","تۆۋەنكى شەكىل"
"sub-pixel positioning","گەۋدىلىك ئورۇنلاشتۇرۇش"
"subreport","تارماق دوكلات"
"subscribe","مۇشتەرى بولماق"
"subscript","تۆۋەن ئىندېكس"
"subscription","مۇشتەرىلىك"
"SUBSET","تارماق توپ"
"subsite","تارماق بەت"
"subtask","تارماق ۋەزىپە"
"Subtitle","چۈشەندۈرۈش"
"subtitle","خېتى"
"subtract","ئېلىش"
"Suggested","تەۋسىيە"
"Suggested color","تەۋسىيە رەڭ"
"Suggested Contacts","تەۋسىيەلىك ئادرېسلار"
"suggestion card","تەۋسىيە كارتىسى"
"Suite B","Suite B"
"Suite B algorithm","Suite B ھېسابلاش ئۇسۇلى"
"summary data","يىغىنچاق ئۇچۇر"
"summary function","يىغىنچاقلىغۇچ"
"summary task","خۇلاسە ۋەزىپە"
"Summary Zoom","خۇلاسە نىسبىتى"
"sunburst chart","نۇرتەشمە گىرافىك"
"superior shape","يۇقىرى دەرىجىلىك شەكىل"
"superscript","يۇقىرى ئىندېكس"
"Super Video CD","سۈزۈك سىنتەخسە"
"Supervision","نازارەت"
"Supervisory Review","نازارەت قىلىپ تەكشۈرۈش"
"Super Zoom","ئالاھىدە چوڭ-كىچىكلىتىش"
"Support","ياردەم"
"support","قوللاش"
"Support and Recovery Assistant","ئەسلىگە كەلتۈرۈش ۋە رېمونت قىلىش ياردەمچىسى"
"Support and Recovery Assistant for Office 365","Office 365 نىڭ ئەسلىگە كەلتۈرۈش ۋە رېمونت قىلىش ياردەمچىسى"
"support ticket","قوللاش بېلىتى"
"Surface Book","Surface Book"
"surface chart","يۈز گىرافىكى"
"Surface Dial","Surface Dial"
"Surface Hub","Surface Hub"
"Surface Pen","Surface قەلىمى"
"Surface Pro 4","Surface Pro 4"
"Surface Studio","Surface Studio"
"suspend","توڭلىتىش"
"SV","SV"
"SVG","SVG"
"SVG filter","SVG سۈزگۈچ"
"Swap Displays","كۆرۈنۈش ئالماشتۇرۇش"
"swap file","ئالماشتۇرۇش ھۆججىتى"
"Sway","Sway"
"sway","Sway"
"Sweep","سۈپۈرۈش"
"SWIFT code","SWIFT كودى"
"swimlane","ئېقىن"
"swipe","سۈرمەك"
"swipe gesture","سۈرۈش ئىشارىتى"
"SWITCH","SWITCH"
"switch","ئۆزگەرتمەك"
"Switch Series/Category","قاتار/تۈر ئالماشتۇرۇش"
"Switch User","ئىشلەتكۈچى ئالماشتۇرماق"
"Syllables","بوغۇم"
"syllabus","دەرس پىلانى"
"symbol","بەلگە"
"sync","قەدەمداش قىلماق"
"Sync Center","قەدەمداش مەركىزى"
"Synced folder","قەدەمداش ھۆججەت قىسقۇچ"
"synced folder","قەدەمداش ھۆججەت قىسقۇچ"
"synchronization","قەدەمداش"
"synchronize","قەدەمداش قىلماق"
"synchronous conversion","ماس قەدەملىك ئايلاندۇرۇش"
"syndicated content","جۇغلانغان مەزمۇن"
"synonym","مەنىداش سۆز"
"Synonyms","مەنىداش سۆزلەر"
"syntax error","گراماتىكىلىق خاتالىق"
"system","سىستېما"
"system administrator","سىستېما باشقۇرغۇچى"
"system color","سىستېما رەڭگى"
"System Guard","سىستېما قوغدىغۇچ"
"system info","سىستېما ئۇچۇرى"
"System Information","سىستېما ئۇچۇرى"
"System Protection","سىستېما قوغداش"
"System Recovery","سىستېما ئەسلىگە قايتۇرۇش"
"system time","سىستېما ۋاقتى"
"Tab","بەتكۈچ"
"tab","بەتكۈچ"
"tabbed browsing","بەتكۈشلۈك كۆرۈش"
"tabbed conversations","بەتكۈشلۈك پاراڭ"
"tab character","كونۇپكا بەلگىسى"
"tab control","بەتكۈش كونترولى"
"tab delimited","كونۇپكا چېكى"
"tab-delimited","جەدۋەل ئايرىغۇچ"
"tab group","بەتكۈچ گۇرۇپپىسى"
"table","جەدۋەل"
"table_array","باشلىق"
"Table Hierarchy","جەدۋەل قاتلىمى"
"Table List","جەدۋەل تىزىملىكى"
"table name","جەدۋەل نامى"
"table of authorities","ھۆكۈمەت جەدۋىلى"
"table of contents","مۇندەرىجە"
"table of figures","سانلىق جەدۋەل"
"table pane","جەدۋەل كۆزنىكى"
"table slicer","جەدۋەل كەسكۈچ"
"table style","جەدۋەل ئۇسلۇبى"
"tablet","تاختا كومپيۇتېر"
"tablet mode","تاختا ھالەت"
"tablet PC","تاختا كومپيۇتېر"
"tab order","بەتكۈچ تەرتىپى"
"Tab Peek","بەتكۈچ ماراش"
"tab preview","بەتكۈچ كۆرىكى"
"Tab Selector","بەتكۈچ تاللىغۇچ"
"tab stop","توختاش"
"tag","بەلگە"
"tagged note","خەتكۈچلۈك خاتىرە"
"Tags","بەلگىلەر"
"tag tree","خەتكۈچلەر"
"tail","قۇيرۇق"
"tail-log backup","ئارقا زاپاس"
"Take a Test","سىناق بېرىش"
"Tap","ئارىلاش"
"tap","چەكمەك"
"Tap and Do","چېكىپ ئىجرا قىلىش"
"Tap and Hold","چېكىپ تۇرۇش"
"Tap and Send","بېسىپ ئەۋەتىش"
"tap gesture","تەگكۈزۈش ئىشارىتى"
"Tap to Select","چېكىپ تاللاش"
"tap two fingers","ئىككى بارماقنى بېسىش"
"target","نىشان"
"target diagram","نىشان دىئاگرامما"
"Target List","نىشان تىزىملىك"
"task","ۋەزىپە"
"taskbar","ۋەزىپەبالدىقى"
"taskbar button","ۋەزىپە بالداق كۇنۇپكىسى"
"task board","ۋەزىپە سۇپىسى"
"task input panel","ئىش تىزىملاش ئورنى"
"task list","ۋەزىپە تىزىملىكى"
"TaskPad","ۋەزىپە تاختىسى"
"task pane","ۋەزىپە كۆزنىكى"
"task path","ۋەزىپە يولى"
"task request","ۋەزىپە ئىلتىماسى"
"Tasks peek","ۋەزىپە تىزىملىكى"
"TB","TB"
"TCP","TCP"
"TCP/IP","TCP/IP"
"Teaching callout","بىلدۈرگۈچ"
"Team Planner","توپ پىلانى"
"Teams","Teams"
"Team Work Center","توپ ئىشخانىسى"
"technical preview","‏‏تېخنىكىلىق ئالدىن كۆرۈش"
"television","تېلېۋىزور"
"Tell Me","ماڭا دەڭ"
"template","قېلىپ"
"tenant administrator","ئىجارە باشقۇرغۇچى"
"tenant-level external data log","ئىجارە تاشقى ئۇچۇرلىرى"
"tentative","قىياس"
"Terms","شەرتلەر"
"terms of service","مۇلازىمەت شەرتلىرى"
"Terms of use","ئىشلىتىش شەرتلىرى"
"Terms of Use","ئىشلىتىش شەرتلىرى"
"TETRAGRAM FOR DEFECTIVENESS OR DISTORTION","TETRAGRAM FOR DEFECTIVENESS OR DISTORTION"
"text","تېكىست"
"Text","تېكست"
"TEXTAFTER","TEXTAFTER"
"Text Annotations","خەتلىك ئىزاھ"
"text area","تېكست رايونى"
"text attributes","تېكست خاسلىقى"
"Text-Based Designer","تېكست لايھەلىگۈچى"
"TEXTBEFORE","TEXTBEFORE"
"TEXTBETWEEN","TEXTBETWEEN"
"text bounding box","تېكست چېگىرىسى"
"text box","تېكست رامكىسى"
"Text Cycle","تېكست چەمبىرى"
"text effect","تېكست ئۈنۈمى"
"text field","تېكىست بۆلىكى"
"text flow","تېكست كۆرۈنۈشى"
"text formatting","تېكىست فورماتلاش"
"text frame","تېكست رامكىسى"
"TEXTJOIN","TEXTJOIN"
"text message","يېزىق ئۇچۇرى"
"text placeholder","تېكست بەلگىسى"
"text prediction","تېكىست نامزاتى"
"text query","تېكىستلىق سۈرۈشتۈرمە"
"text size","خەت چوڭلۇقى"
"TEXTSLICE","TEXTSLICE"
"text slot","تېكېست بوشلۇقى"
"Text Spacing","خەت ئارىلىقى"
"text suggestion","تەكلىپ سۆز"
"Text to SmartArt","تېكستنى SmartArt قا ئايلاندۇرۇش"
"text-to-speech","تېكىستنى نۇتۇققا ئايلاندۇرۇش"
"texture","قۇرۇلما"
"text wrap","تېكس رامكىسى"
"text wrapping","تېكستنى لايھەلەش"
"theme","باشتېما"
"Theme","ئۇسلۇب"
"theme family","ئۇسلۇب بۆلەكلىرى"
"theme font","ئۇسلۇب خەت نۇسخىسى"
"theme pack","باشتېما بولىقى"
"Themes","ئۇسلۇبلار"
"theme variant","ئۇسلۇب ئۆزگىچىلىكى"
"thesaurus","لۇغەت"
"Thesaurus pane","ئامبار كۆزنىكى"
"third-party code","ئۈچىنچى تەرەپ كودى"
"thread","ئېقىم"
"threaded discussion","باغلىنىشلىق مۇنازىرە"
"Thread View","باغلاملىق كۆرۈنۈش"
"Threat Dashboard","تەھدىت باشقۇرۇش سۇپىسى"
"Threat history","تەھدىت تارىخى"
"throttle","چەكلىمە"
"thumb keyboard","بارماق كۇنۇپكا تاختىسى"
"thumbnail","كىچىك نۇسخا"
"thumbnail image","كىچىكلەتمە رەسىم"
"thumbnail pane","رەسىم كۆزنىكى"
"thumbprint","بارماق ئىزى"
"ticket","بېلەت"
"tick mark","شىكالا سىزىقى"
"tick mark label","شىكالا سىزىقى بەلگىسى"
"tick-mark label","شىكالا سىزىقى بەلگىسى"
"TID","باج تۆلىگۈچى پەرقلەندۈرۈش نومۇرى(TID)"
"tiered storage","قەۋەتلەپ ساقلاش"
"tiering engine","قاتلاملىق موتور"
"tiering policy engine","قاتلاملىق چارىسى موتورى"
"tile","يېيىش"
"time allowance","رۇخسەت ۋاقىت"
"Time Broker","ۋاقىت بۇزغۇچى"
"Time Event Broker","ۋاقىت ھادىسە بۇزغۇچى"
"Time & expenses","ۋاقىت ۋە چىقىم"
"Timeline","ۋاقىت سىزىقى"
"timeline","ۋاقىت سىزىقى"
"time out","ۋاقتى ئېشىپ كېتىش"
"Time Reporter","Time Reporter"
"timescale","ۋاقىت ئۆلچىگۈچ"
"Timesheet","Timesheet"
"Timesheet tool","ۋاقىت جەدۋىلى قورالى"
"time zone","ۋاقىت رايونى"
"tint","سۇس رەڭ"
"tip","تەكلىپ"
"title bar","تېما بالدىقى"
"title case","چوڭ ھەرپ"
"Titled Matrix","ئىسىملىك ماترىتسا"
"title master","تېما بېشى"
"TOA","TOA"
"To box","تاپشۇرۇۋالغۇچىنىڭ ئادرېسىنى يېزىش ئورنى"
"TOC","TOC"
"Today","بۈگۈن"
"Today page","بۈگۈنكى بەت"
"to-do","to-do"
"To-Do","To-Do"
"To-Do Bar","قالدۇق بالدىقى"
"toggle button","ئالماشتۇرۇش كۇنۇپكىسى"
"toggle key","ئالماشتۇرۇش كۇنۇپكىسى"
"toggle switch","ئۈزچات"
"token","ئالدىن تۆلەش كارتىسى كودى"
"token-based activation","ئىجازەتلىك ئاكتىپلاش"
"token subscription","ئالدىن تۆلەش كارتىسى كودىلىق مۇشتەرىلىك"
"tool","قورال"
"toolbar","قورالبالداق"
"toolbar button","قورالبالداق كۇنۇپكىسى"
"toolbox","قورال رامكىسى"
"Toolbox","قورالدان"
"Tools","قوراللار"
"Top albums","داڭدار پىلاستىنكىلار"
"Top apps","داڭلىق ئەپلەر"
"Top artists","داڭدار سەنئەتكارلار"
"Top charts","شەرەپ تاختىلىرى"
"Top free","ئاۋات ھەقسىزلىرى"
"Top free apps","داڭدار ھەقسىز ئەپلەر"
"Top free games","داڭدار ھەقسىز ئويۇنلار"
"Top games","داڭلىق ئويۇنلار"
"Top grossing apps","بازارلىق ئەپلەر"
"Top grossing games","بازارلىق ئويۇنلار"
"topic","تېما"
"topic pane","تېما كۆزنىكى"
"top-level folder","ئەڭ ئۈستۈنكى قىسقۇچ"
"top-level property grid","يۇقىرى دەرىجىلىك خاسلىق تورى"
"Top movie rentals","بازارلىق ئىجارە كىنولار"
"Top music","داڭدار مۇزىكىلار"
"topology","توپولوگىيە"
"Top paid","ئاۋات ھەقلىقلىرى"
"Top paid apps","داڭدار ھەقلىق ئەپلەر"
"Top paid games","داڭدار ھەقلىق ئويۇنلار"
"Top rated","يۇقىرى باھالىق"
"Top-rated movies","يۇقىرى باھالانغان كىنولار"
"Top-rated TV shows","يۇقىرى باھالانغان تىياتىرلار"
"Top rentals","كۆپ ئىجارىلىك"
"Top rented","ئاۋات ئىجارىلەر"
"top result","ئاۋات نەتىجە"
"top results","ئالدىنقى نەتىجىلەر"
"Top selling","بازارلىق"
"Top-selling movies","بازارلىق كىنولار"
"Top-selling songs","بازارلىق ناخشىلار"
"Top-selling TV shows","بازارلىق تىياتىرلار"
"Top songs","داڭدار ناخشىلار"
"Top TV","داڭلىق تىياتىرلار"
"total row","جەمئىي قۇر"
"touch","سەزمە"
"touch keyboard","سەزمە كۇنۇپكا تاختىسى"
"touchpad","سەزمەتاختا"
"touch selection handle","سېزىمچان تاللانما تۇتقۇچى"
"touch writing","تەگيازما"
"tracer arrow","ئىزچى يۆلىنىش"
"track","يول"
"tracked change","ئىزلانغان ئۆزگەرتىش"
"tracking","ئىز قوغلاش"
"Tracking Columns","ئىزلاش رېتى"
"tracking number","ئىزلاش نومۇرى"
"Tracking Protection","ئىز قوغلاشتىن قوغداش"
"transaction","مۇئامىلە"
"transfer","يوللاش"
"transfer call","تېلېفوننى يۆتكەش"
"Transform Data by Example","Transform Data by Example"
"Transform to Web","تورغا ئايلاندۇرۇش"
"transition","ئۆتۈشمە"
"transition effect","ئۆتۈشمە ئۈنۈم"
"transition style","ئۆتۈشمە ئۇسلۇب"
"Translate","تەرجىمە"
"Translation ScreenTip","تەرجىمە كۆرسەتكۈچى"
"Translator","تەرجىمان"
"Translator for Outlook","Outlook تەرجىمانى"
"Transmission Control Protocol","يەتكۈزۈش كونترول كېلىشىمى"
"Transmission Control Protocol/Internet Protocol","يەتكۈزۈش كونترول كېلىشىمى\ئىنتېرنېت كېلىشىمى"
"TRANSPOSE","ئالماشتۇرۇش"
"Transpose","ئالماشتۇرۇش"
"Trapezoid List","شوتىسىمان تىزىملىك"
"trapping","چالىسىنى تولۇقلاش"
"Travel","ساياھەت"
"tree","دەرەخ"
"treemap chart","دەرەخسىمان گىرافىك"
"trend chart","كۆرسەتكۈچلۈك گىرافىك"
"Trending","يۈزلىنىش"
"trendline","كۆرسەتكۈچ"
"trendline label","كۆرسەتكۈچ بەلگىسى"
"trial","سىناق"
"trim","تۈزەش"
"Triple Data Encryption Standard","ئۈچ ئۇچۇر مەخپىيلەشتۈرۈش ئۆلچىمى"
"troubleshooter","كاشىلا ھەل قىلغۇچ"
"Troubleshooting","كاشىلا ئوڭشاش"
"troubleshooting","كاشىلا ئوڭشاش"
"true sound","ھەقىقىي ئاۋاز"
"trust","ئىشەنچ"
"Trust Bar","ئىشەنچ بالدىقى"
"Trust Center","ئىشەنچ مەركىزى"
"trust document","ئىشەنچ پۈتۈكى"
"Trusted Boot","ئىشەنچلىك قوزغىتىش"
"Trusted Documents","ئىشەنچىلىك ھۆججەت"
"trusted location","ئىشەنچىلىك ئورۇن"
"trusted PC","ئىشەنچلىك كومپيۇتېر"
"trusted publisher","ئىشەنچىلىك نەشرىيات"
"trusted publisher store","ئىشەنچىلىك نەشىرىيات دۇكىنى"
"trusted root CA","ئىشەنچلىك ئانا CA"
"trusted root certification authority","ئىشەنچلىك ئانا كىنىشكا تارقىتىش ئورگىنى"
"trusted source","ئىشەنچىلىك مەنبە"
"TRY","TRY"
"TS session","تېرمىنال مۇلازىمەت كۆزنىكى"
"TV","TV"
"TV cam","TV كامېرا"
"TV genres","تىياتىر ژانىرى"
"TV movies","تېلېۋىزىيە كىنولىرى"
"TV networks","تېلېۋىزىيە تورى"
"Tweet","پىچىرلاش"
"Twilight","غۇۋا يورۇق"
"twip","twip"
"two-sided test","قوش تەرەپلىك سىناق"
"two-step verification","ئىككى باسقۇچلۇق تەكشۈرۈش"
"two-tailed test","قوش قۇيرۇقلۇق سىناق"
".txt",".txt"
"type","تىپ"
"typed text","باسقان خەت"
"type library","تىپ ئامبىرى"
"Typewriter","خەت باسقۇچى"
"U2F","ئۇ2ئا"
"UAC","UAC"
"UCE","UCE"
"UDF","UDF"
"ULS","ULS"
"unavailable","يېتەرسىز"
"unbind","ئۈزۈش"
"unbound object","باغلىنىشسىز ئوبيېكت"
"unbound object frame","باغلىنىشسىز ئوبيېكت رامكىسى"
"undo","يېنىۋالماق"
"Unfiled Notes","ھۈججەتلەنمىگەن خاتېرىلەر"
"unflag","بەلگىنى ئۆچۈرۈش"
"Unicode","يۇنىكود"
"Unified Logging Service","ئۆلچەملىك خاتىرلەش مۇلازىمىتى"
"Uniform Resource Identifier","بىرلىككە كەلگەن مەنبە تونۇغۇچ"
"Uniform Resource Name","ئۆلچەملىك مەنبە نامى"
"uninstall","يۇيۇۋاتماق"
"union query","بىرلەشتۈرۈش سۈرۈشتۈرمىسى"
"UNIQUE","بىردىنبىر"
"unique identifier","بىردىنبىر پەرقلەندۈرگۈچ"
"UNIQUE.INTL","بىردىنبىر ئۇچۇر"
"unit","بىرلىكى"
"Universal 2nd Factor","ئۇنىۋېرسال ئىككىنچى ئامىل"
"universal app","ئۇنىۋېرسال ئەپ"
"universally unique identifier","ئومۇميۈزلۈك بىردىنبىر پەرقلەندۈرگۈچ"
"universal serial bus","ئۇنىۋېرسال ئارقىمۇئارقا لىنىيە"
"unjunk","ئەخلەت ئەمەس"
"Unlimited","چەكلىمىسىز"
"unlimited calls","ئالاقە چەكلەنمىگەن"
"unlink","ئۇلانمىنى ئۈزمەك"
"unlock","قۇلۇپ ئېچىش"
"UNN","UNN"
"unpin","ئېلىپ تاشلىماق"
"unpin from Start","«باشلاش» تىن ئاجرىتىش"
"Unrated","باھالانمىغان"
"Unread Changes","ئوقۇلمىغانلىرى"
"unregistered user","تىزىملاتمىغان ئىشلەتكۈچى"
"unseen","كۆرۈنمىگەن"
"un-sign","ئىمزانى ئۆچۈرۈش"
"unsolicited commercial e-mail","قارشى ئېلىنمايدىغان ئېلان خەتلەر"
"unstack","ئۆرۈش"
"unsubscribe","مۇشتەرىلىكنى بىكار قىلىش"
"unwanted software","كېرەكسىز يۇمشاق دېتال"
"update","يېڭىلىماق"
"updated","يېڭىلاندى"
"update group","يېڭىلاش توپى"
"update history","يېڭىلاش تارىخى"
"update list","يېڭىلاش تىزىملىكى"
"update query","يېڭىلاش سۈرۈشتۈرمىسى"
"update ring","يېڭىلاش ھالقىسى"
"up-down bars","يۇقىرى - تۆۋەن بالداق"
"upgrade","يېڭىلىماق"
"upload","يۈكلىمەك"
"upper bound","يۇقىرى چەك"
"uppercase","چوڭ ھەرپ"
"Upward Arrow","يۇقىرىلىغان يۆلىنىش"
"URI","URI"
"URL","URL"
"URN","URN"
"usage event","مەشغۇل ئىش"
"USB","USB"
"USB drive","USB قوزغاتقۇچ"
"USB flash drive","USB بارماق قوزغاتقۇچ"
"USD","USD"
"Use of Plain Verb Form","پېئىل ئۆزىكى ئىشلىتىش"
"user","ئىشلەتكۈچى"
"User Account Control","ئىشلەتكۈچى ھېسابات كونترولى"
"user agent","ئىشلەتكۈچى ۋەكىلى"
"user name","ئىشلەتكۈچى نام"
"username","ئىشلەتكۈچى نام"
"user profile","ئىشلەتكۈچى ئارخىپى"
"user subscription license","ئىشلەتكۈچى مۇشتەرىلىك ئىجازەتنامىسى"
"USL","USL"
"Utilities","لازىملىقلار"
"Utilities & tools","لازىملىقلار ۋە قوراللار"
"UUID","UUID"
"Vague Adjectives","غۇۋا سۈپەت"
"validate","دەلىللەش"
"validation","دەلىللەش"
"validation formula","دەلىللەش فورمۇلاسى"
"validation rule","دەلىللەش قائىدىسى"
"value","قىممىتى"
"value axis","قىممەت ئوقى"
"variable refresh rate","ئۆزگىرىشچان يېڭىلاش نىسبىتى"
"variance","پەرق"
"VAT","قوشۇلما قىممەت بېجى"
"VAT ID","باج تىزىملاش نومۇرى"
"Vault","ئىشكاپ"
"vault","توپلام"
"VBA","VBA"
"VBA Converter","VBA ئايلاندۇرغۇچى"
"vCard","vCard"
"vector","ۋېكتور"
"vector object","ۋېكتور ئوبيېكتى"
"Velocity Ink","تېزلىك رەڭگى"
"Venn diagram","ئۆتۈشمە دىئاگرامما"
"venue map","ئورۇن خەرىتىسى"
"verification","دەلىللەش"
"verification code","دەلىللەش كودى"
"verification letter","دەلىللەش خېتى"
"verification option","دەلىللەش تاللانمىسى"
"verify","دەلىللىمەك"
"version","نەشىر نومۇرى"
"version history","نەشىر تارىخى"
"Vertical","تىك"
"vertical alignment","تىك تەڭشەش"
"Vertical Arrow List","ۋېرتىكال ئستىرېلكا تىزىملىكى"
"vertical axis","ۋېرتىكال ئوق"
"Vertical Bending Process","ۋېرتىكال ئەگمە جەريانى"
"Vertical Block List","ۋېرتىكال توسۇق تىزىملىكى"
"Vertical Box List","ۋېرتىكال رامكا تىزىملىكى"
"Vertical Bullet List","ۋېرتىكال تۈر بەلگىسى تىزىملىكى"
"Vertical Chevron List","ۋېرتىكال چەۋرون تىزىملىكى"
"Vertical Equation","ۋېرتىكال تەڭلىمە"
"Vertical Picture Accent List","ۋېرتىكال رەسىم رەڭ تىزىملىكى"
"Vertical Picture List","ۋېرتىكال رەسىم تىزىملىكى"
"Vertical Process","ۋېرتىكال جەريان"
"vertical ruler","ۋېرتىكال سىزغۇچ"
"vertical scroll bar","ۋېرتىكال سىيرىلما بالداق"
"vertical scrollbar","ۋېرتىكال سىيرىلما بالداق"
